,datadate,tic,adjcp,open,high,low,volume,neutral,positive,negative,macd,rsi,cci,adx,turbulence
595,20160905,ETH,11.71700001,11.68050003,11.80659962,11.59399986,5724100,94.23994901031256,2.6948801950168395,0.06517059590542118,0.0936922169999832,50.454336938290524,64.01422006267212,4.403984762390194,1.2910006565397831
596,20160906,BTC,610.4359741000002,606.5059813999999,610.8300171,605.0910034,78529104,64.70127423107624,8.971288883431875,0.3274373971455242,1.496886824221292,52.844691619138075,207.16544682934764,21.94616891278966,1.3688711078929867
597,20160906,ETH,11.68910027,11.72539997,11.72840023,11.47280025,6346330,64.70127423107624,8.971288883431875,0.3274373971455242,0.09719279444333573,50.32756079931077,45.502133346051124,1.1204915772939288,1.3688711078929867
598,20160907,BTC,614.5440062999999,610.5729980000001,614.5449829,608.5130005,75032400,73.44226480275394,5.502269897885052,0.055466198674491096,3.2497873888630693,53.6610322103346,209.3701074584609,25.59564623706518,1.4668131622775575
599,20160907,ETH,11.5479002,11.69449997,11.72630024,11.51500034,6115050,73.44226480275394,5.502269897885052,0.055466198674491096,0.08756397865839816,49.67408886412787,36.223742893217974,1.120491577293925,1.4668131622775575
600,20160908,BTC,626.315979,614.6350097999998,628.7700195,613.8439941,86713000,87.93997678400865,0.059136799515954415,1.0008861365709265,5.525182663204191,55.92302515516662,239.78580119874673,37.5478065584654,1.8050710731007267
601,20160908,ETH,11.34589958,11.54580021,11.7013998,11.2524004,11535000,87.93997678400865,0.059136799515954415,1.0008861365709265,0.06290814499732456,48.7375500103794,9.391884565996161,6.184417521967482,1.8050710731007267
602,20160909,BTC,622.8610229,626.3519897000001,626.8300171,620.2630005,64550200,87.52617847919464,0.4710736558376402,0.002747872263675788,6.969325680290694,55.10632454496206,210.02890049713858,37.547806558465396,1.646397094844546
603,20160909,ETH,11.65279961,11.41250038,11.68000031,11.38689995,6109200,87.52617847919464,0.4710736558376402,0.002747872263675788,0.06735604813856888,50.21285099584555,44.59582325771463,6.184417521967487,1.646397094844546
604,20160910,BTC,623.5089722,622.9270019999999,625.0949707000002,622.3950195,45016800,93.69936596229671,0.3522222835389339,0.94841264739253,8.073042510420805,55.233162836594275,184.33773949049936,37.547806558465396,1.6119464365342666
605,20160910,ETH,12.16849995,11.66230011,12.21510029,11.54370022,7220300,93.69936596229671,0.3522222835389339,0.94841264739253,0.11121177090291035,52.5848897608336,128.48726943338175,9.1047710108129,1.6119464365342666
606,20160911,BTC,606.7189941,623.4240112000001,628.8179932,600.5059813999999,73610800,96.00147324800491,0.9955975172793964,0.0029289494238042835,7.506405961912833,51.34457306258415,112.39030225919088,5.648808793267181,1.2281311442943117
607,20160911,ETH,11.63840008,12.20790005,12.20790005,11.58969975,8791180,96.00147324800491,0.9955975172793964,0.0029289494238042835,0.10201712793288031,50.049260658601874,93.91834722777219,9.10477101081289,1.2281311442943117
608,20160912,BTC,608.242981,607.0050049,608.4589844,605.4110107000001,72812304,96.48649073907292,1.740855040991096,0.7726542839718054,7.09848846479008,51.66410651266401,82.99125980838569,5.648808793267189,1.2471882936328769
