Date,technical_indicator+sentiment_score,datadate,daily_return_ti+ss,Date
2019-06-05,2014884.1935339526,20190605,4.243666160164139e-05,2019-06-05
2019-06-06,2013536.1849938652,20190606,-0.0006690253188810225,2019-06-06
2019-06-07,2010847.9428303584,20190607,-0.0013350851022898569,2019-06-07
2019-06-08,2009918.3938011609,20190608,-0.0004622671905709641,2019-06-08
2019-06-09,2012321.3410633518,20190609,0.0011955446895763888,2019-06-09
2019-06-10,2011132.564659007,20190610,-0.000590748793488749,2019-06-10
2019-06-11,2010519.315606156,20190611,-0.0003049272154542759,2019-06-11
2019-06-12,2005058.998944491,20190612,-0.0027158737641964636,2019-06-12
2019-06-13,2005523.354277664,20190613,0.00023159185511123503,2019-06-13
2019-06-14,2004739.7595644726,20190614,-0.0003907183187471519,2019-06-14
2019-06-15,2004798.6416366454,20190615,2.9371429329794196e-05,2019-06-15
2019-06-16,2006868.7569370728,20190616,0.0010325801591413164,2019-06-16
2019-06-17,2008803.9884356882,20190617,0.0009643039645348406,2019-06-17
2019-06-18,2007396.829854661,20190618,-0.0007004957124379096,2019-06-18
2019-06-19,2005357.1624355626,20190619,-0.0010160758394970326,2019-06-19
2019-06-20,2006246.8927900272,20190620,0.00044367675301493215,2019-06-20
2019-06-21,2006888.4447374498,20190621,0.0003197771668721483,2019-06-21
2019-06-22,2006268.929767224,20190622,-0.00030869427339130784,2019-06-22
2019-06-23,2005421.449957941,20190623,-0.0004224158569715586,2019-06-23
2019-06-24,2005808.3138852862,20190624,0.00019290904031832312,2019-06-24
2019-06-25,2005808.3138852862,20190625,0.0,2019-06-25
2019-06-26,1998736.3092515045,20190626,-0.003525762947947486,2019-06-26
2019-06-27,1993027.647222695,20190627,-0.0028561356505037994,2019-06-27
2019-06-28,1995463.8342338402,20190628,0.001222354850189955,2019-06-28
2019-06-29,1997195.6106646631,20190629,0.0008678565860793519,2019-06-29
2019-06-30,2003348.8112264397,20190630,0.003080920330947867,2019-06-30
2019-07-01,2039421.815819895,20190701,0.018006352359263733,2019-07-01
2019-07-02,2058824.473977292,20190702,0.009513803376471452,2019-07-02
2019-07-03,2056021.8481135638,20190703,-0.0013612747949872661,2019-07-03
2019-07-04,2054037.683820264,20190704,-0.0009650501988198723,2019-07-04
2019-07-05,2031341.679253276,20190705,-0.01104945870553653,2019-07-05
2019-07-06,2049900.5177204087,20190706,0.009136246578643092,2019-07-06
2019-07-07,2040879.507639664,20190707,-0.004400706279530375,2019-07-07
2019-07-08,2026942.5542435925,20190708,-0.006828895750043529,2019-07-08
2019-07-09,1996115.2774983656,20190709,-0.01520875699248958,2019-07-09
2019-07-10,2005333.7652789184,20190710,0.004618214130451381,2019-07-10
2019-07-11,2042369.994239512,20190711,0.018468860197665027,2019-07-11
2019-07-12,2033837.0403953856,20190712,-0.004177966709358993,2019-07-12
2019-07-13,2033322.2839203912,20190713,-0.000253096223920779,2019-07-13
2019-07-14,2031253.7317426938,20190714,-0.0010173262714207043,2019-07-14
2019-07-15,2017291.4528652332,20190715,-0.006873724665348302,2019-07-15
2019-07-16,2010329.2565052332,20190716,-0.0034512595342190977,2019-07-16
2019-07-17,2001896.6034652332,20190717,-0.004194662646784253,2019-07-17
2019-07-18,2015257.2492252332,20190718,0.00667399392000223,2019-07-18
2019-07-19,1998641.6118652327,20190719,-0.008244921270665784,2019-07-19
2019-07-20,1966904.429465233,20190720,-0.01587937637822967,2019-07-20
2019-07-21,1976836.768665233,20190721,0.00504973147205745,2019-07-21
2019-07-22,1909987.3728492332,20190722,-0.033816345828662775,2019-07-22
2019-07-23,1692670.9347972334,20190723,-0.11377899201910269,2019-07-23
2019-07-24,1666490.537617233,20190724,-0.015466914827799383,2019-07-24
2019-07-25,1594357.5584332338,20190725,-0.04328436169048755,2019-07-25
2019-07-26,1620401.6442772332,20190726,0.016335160018680295,2019-07-26
2019-07-27,1619239.2854852336,20190727,-0.0007173275811614976,2019-07-27
2019-07-28,1591460.3076012337,20190728,-0.017155573072497154,2019-07-28
2019-07-29,1628592.1770670975,20190729,0.023331948204119435,2019-07-29
2019-07-30,1638264.884203491,20190730,0.00593930590641345,2019-07-30
2019-07-31,1648007.2895743654,20190731,0.005946782760720026,2019-07-31
2019-08-01,1621960.3747080874,20190801,-0.015805096877335556,2019-08-01
2019-08-02,1611378.5588546363,20190802,-0.0065240902419428926,2019-08-02
2019-08-03,1600721.1815043332,20190803,-0.006613825963948772,2019-08-03
2019-08-04,1568743.4829758857,20190804,-0.019977057152698707,2019-08-04
2019-08-05,1619147.3701427728,20190805,0.03213010139253081,2019-08-05
2019-08-06,1615850.6740351191,20190806,-0.002036069210527125,2019-08-06
2019-08-07,1687689.178213109,20190807,0.044458628097480135,2019-08-07
2019-08-08,1685875.1118512924,20190808,-0.0010748817882078043,2019-08-08
2019-08-09,1634051.9551724037,20190809,-0.030739617848667744,2019-08-09
2019-08-10,1636949.0453804866,20190810,0.0017729486500797087,2019-08-10
2019-08-11,1633904.9399861903,20190811,-0.0018596213503938586,2019-08-11
2019-08-12,1644413.9225706502,20190812,0.00643182006937848,2019-08-12
2019-08-13,1611266.9855722561,20190813,-0.020157295279145226,2019-08-13
2019-08-14,1580366.4274635615,20190814,-0.019177801311258125,2019-08-14
2019-08-15,1591404.730496557,20190815,0.006984647889990647,2019-08-15
2019-08-16,1565817.0371065019,20190816,-0.01607868375637611,2019-08-16
2019-08-17,1568822.6679493058,20190817,0.0019195287645854542,2019-08-17
2019-08-18,1614538.0681308056,20190818,0.02913994112620566,2019-08-18
2019-08-19,1618775.059050979,20190819,0.002624274400094384,2019-08-19
2019-08-20,1586371.9075222032,20190820,-0.02001708103148847,2019-08-20
2019-08-21,1476050.3075415988,20190821,-0.06954333940073276,2019-08-21
2019-08-22,1471903.2913679888,20190822,-0.002809535794560447,2019-08-22
2019-08-23,1700406.451386749,20190823,0.1552433243126925,2019-08-23
2019-08-24,1814788.3386338027,20190824,0.06726738019240686,2019-08-24
2019-08-25,1874838.8644223118,20190825,0.03308954797104091,2019-08-25
2019-08-26,1816976.28105968,20190826,-0.030862696768589104,2019-08-26
