Date,technical_indicator+sentiment_score+rnn_score,datadate,daily_return_ti+ss+rnn_score,Date
2019-07-28,1405893.726320613,20190728,-0.017159088590208094,2019-07-28
2019-07-29,1438882.9391113706,20190729,0.02346494060905613,2019-07-29
2019-07-30,1447214.2457951463,20190730,0.0057901212512263545,2019-07-30
2019-07-31,1455937.599123589,20190731,0.006027686193518456,2019-07-31
2019-08-01,1432762.228801606,20190801,-0.01591783214880471,2019-08-01
2019-08-02,1423497.6071265938,20190802,-0.006466265992202569,2019-08-02
2019-08-03,1414094.7590431185,20190803,-0.00660545408464408,2019-08-03
2019-08-04,1385886.827749626,20190804,-0.019947695239730612,2019-08-04
2019-08-05,1430548.3810204358,20190805,0.03222597428343432,2019-08-05
2019-08-06,1427627.4142170614,20190806,-0.002041851112571824,2019-08-06
2019-08-07,1491269.5414645742,20190807,0.04457894728955969,2019-08-07
2019-08-08,1489662.4500648403,20190808,-0.001077666615624473,2019-08-08
2019-08-09,1443752.0296090634,20190809,-0.03081934464668723,2019-08-09
2019-08-10,1446318.5778101997,20190810,0.001777693224667809,2019-08-10
2019-08-11,1443623.9234171046,20190811,-0.0018631126187806935,2019-08-11
2019-08-12,1452933.5249256748,20190812,0.006448771981094614,2019-08-12
2019-08-13,1423556.9869227703,20190813,-0.020218776357581292,2019-08-13
2019-08-14,1396181.649176593,20190814,-0.019230236652031163,2019-08-14
2019-08-15,1405960.542741553,20190815,0.00700402671151501,2019-08-15
2019-08-16,1383292.2639774864,20190816,-0.016122983593739093,2019-08-16
2019-08-17,1385954.968925836,20190817,0.0019249040984972154,2019-08-17
2019-08-18,1426454.4941987104,20190818,0.029221386106262237,2019-08-18
2019-08-19,1430208.0678340988,20190819,0.0026314008968768565,2019-08-19
2019-08-20,1401501.9370980605,20190820,-0.020071296884453194,2019-08-20
2019-08-21,1303767.4229339142,20190821,-0.0697355541059862,2019-08-21
2019-08-22,1300092.7651230008,20190822,-0.0028184918155449434,2019-08-22
2019-08-23,1502524.6510995117,20190823,0.15570572455063147,2019-08-23
2019-08-24,1603856.1961571819,20190824,0.0674408536216149,2019-08-24
2019-08-25,1657055.288304806,20190825,0.03316949005471215,2019-08-25
2019-08-26,1605794.50642507,20190826,-0.030934865143924406,2019-08-26
