Date,technical_indicator,daily_return_ti,technical_indicator+sentiment_score,daily_return_ti+ss
2019-05-22,1744017.3320670119,-0.008935968840768527,2012503.9869389818,0.0005076093069200649
2019-05-23,1761702.4776960122,0.01014046437717453,2013136.9161604715,0.00031449836899577477
2019-05-24,1754350.123017012,-0.004173437213198405,2013137.7028208624,3.907634817945649e-07
2019-05-25,1684855.3457970119,-0.03961283230082235,2009872.860890484,-0.0016217678134007318
2019-05-26,1698162.6937860118,0.007898213945900956,2010841.6578338563,0.0004820190183290052
2019-05-27,1692195.2235690122,-0.003514074498772057,2010859.6750317626,8.96002817341035e-06
2019-05-28,1707820.3893900118,0.009233666188966259,2010666.0072636781,-9.631093133410928e-05
2019-05-29,1792462.508541012,0.04956148765809743,2012834.7326300764,0.0010786104497533255
2019-05-30,1848047.8841310118,0.03101062104514752,2012615.2308548032,-0.00010905106699266032
2019-05-31,1869023.3151510118,0.011350047366257998,2012629.9030963238,7.290137377324868e-06
2019-06-01,1922751.989061012,0.02874692545269775,2013814.5838321587,0.0005886232406724368
2019-06-02,1949029.0037310119,0.013666356773778476,2013860.2499822453,2.267644223707954e-05
2019-06-03,2096907.107001012,0.07587270532501987,2016824.7520726644,0.0014720495577811299
2019-06-04,2038942.371741012,-0.02764296761953411,2014798.6922036563,-0.0010045790378792052
2019-06-05,2121034.7929710117,0.04026225673063166,2014884.1935339526,4.243666160164139e-05
2019-06-06,2125353.790451391,0.0020362690393822547,2013536.1849938652,-0.0006690253188810225
2019-06-07,2107039.223881343,-0.008617184890501672,2010847.9428303584,-0.0013350851022898569
2019-06-08,2016961.704301344,-0.042750755922838835,2009918.3938011609,-0.0004622671905709641
2019-06-09,2046972.9676213432,0.014879441318096376,2012321.3410633518,0.0011955446895763888
2019-06-10,2022022.442281343,-0.012188986241959745,2011132.564659007,-0.000590748793488749
2019-06-11,1935861.4052413432,-0.04261131589755696,2010519.315606156,-0.0003049272154542759
2019-06-12,1786451.0129713432,-0.07718031459559628,2005058.998944491,-0.0027158737641964636
2019-06-13,1832455.756252499,0.025752031792149577,2005523.354277664,0.00023159185511123503
2019-06-14,1843568.867436676,0.0060646000026238775,2004739.7595644726,-0.0003907183187471519
2019-06-15,1818329.4639366763,-0.013690512975028213,2004798.6416366454,2.9371429329794196e-05
2019-06-16,1838519.2397466758,0.01110347503597553,2006868.7569370728,0.0010325801591413164
2019-06-17,1939452.3374766759,0.054899125093685434,2008803.9884356882,0.0009643039645348406
2019-06-18,1912402.977996676,-0.01394690601945514,2007396.829854661,-0.0007004957124379096
2019-06-19,1801745.539206676,-0.057863034132020874,2005357.1624355626,-0.0010160758394970326
2019-06-20,1800507.732186676,-0.0006870043483193643,2006246.8927900272,0.00044367675301493215
2019-06-21,1849520.665896676,0.02722172908998011,2006888.4447374498,0.0003197771668721483
2019-06-22,1805623.818066676,-0.023734175367388092,2006268.929767224,-0.00030869427339130784
2019-06-23,1801828.430076676,-0.002101981571146827,2005421.449957941,-0.0004224158569715586
2019-06-24,1842945.970806676,0.022819897856895418,2005808.3138852862,0.00019290904031832312
2019-06-25,1842945.970806676,0.0,2005808.3138852862,0.0
2019-06-26,1733843.721807676,-0.059199917266833824,1998736.3092515045,-0.003525762947947486
2019-06-27,1690616.298774676,-0.024931556684896442,1993027.647222695,-0.0028561356505037994
2019-06-28,1706187.5381826758,0.009210392339932929,1995463.8342338402,0.001222354850189955
